n,naive,optimize,unroll
10,0.000243,0.000235,0.000177
20,0.001046,0.001008,0.0005
30,0.001699,0.002213,0.001374
40,0.003636,0.003973,0.002454
50,0.005689,0.006317,0.00372
60,0.008207,0.009169,0.005348
70,0.011185,0.012653,0.007338
80,0.015055,0.017201,0.009519
90,0.018468,0.021088,0.02568
100,0.018052,0.018296,0.015059
200,0.07075,0.075686,0.053463
300,0.198526,0.198477,0.146485
400,0.363122,0.316046,0.218246
500,0.632332,0.487866,0.297598
600,1.24456,0.701361,0.474649
700,1.44749,1.12965,0.937686
800,2.60982,1.56139,0.982963
900,3.66209,1.5385,1.07397
1000,5.22708,1.88533,1.171
1100,4.79333,2.28234,1.41511
1200,5.98342,2.66971,1.72485
1300,8.79879,3.18368,2.00593
1400,12.0742,3.50967,2.32028
1500,13.785,4.09384,2.60012
1600,17.0413,4.74436,3.037
1700,18.4342,5.3383,3.46624
1800,20.9913,6.16963,3.96967
1900,20.9439,7.98173,6.62197
2000,20.7106,8.91479,6.75233
2100,21.6645,9.63226,7.69203
2200,23.8362,11.0111,8.86012
2300,26.8865,12.1517,9.40783
2400,29.571,13.0193,10.0119
2500,32.8105,13.6227,11.1709
2600,35.0911,15.1882,11.7549
2700,39.4501,16.464,12.3891
2800,40.896,17.9636,14.2915
2900,45.3501,18.8817,15.2035
3000,48.3363,19.8423,15.6566
3100,53.6691,21.8143,17.2352
3200,60.1306,23.0944,18.6185
3300,65.0487,24.2439,18.6724
3400,68.7598,26.2339,20.5888
3500,74.2434,28.4071,21.7672
3600,79.3181,29.3321,22.6391
3700,84.5602,30.07,24.0514
3800,89.0375,33.3426,25.7228
3900,93.5998,34.1808,26.4301
4000,95.1497,35.0778,28.4364
4100,100.63,37.0821,29.3393
4200,105.119,38.8509,31.3158
4300,112.642,40.1368,33.1976
4400,116.691,43.9916,35.1761
4500,124.178,45.6088,36.8497
4600,129.613,47.0495,38.0078
4700,135.105,49.0597,39.0318
4800,139.458,51.3589,39.9947
4900,146.825,54.0985,42.1355
5000,153.067,56.7495,44.5164
5100,159.31,58.5837,46.6741
5200,165.872,60.9905,48.73
5300,171.26,62.8705,49.6766
5400,178.071,65.808,51.7763
5500,185.272,68.1146,54.9499
5600,192.774,68.5694,55.5246
5700,202.313,73.6606,57.4122
5800,206.538,73.5145,59.1406
5900,214.218,77.8815,61.1665
6000,222.0,80.0201,62.2266
6100,229.368,82.7777,66.6776
6200,244.73,85.0503,68.5413
6300,265.189,88.2378,70.2167
6400,254.736,90.8205,72.1702
6500,264.369,95.4854,72.4304
6600,273.992,98.0086,77.3727
6700,285.488,98.7951,79.1531
6800,294.13,102.145,81.4806
6900,306.016,106.257,84.1455
7000,321.692,107.385,85.4955
7100,327.432,111.758,89.1812
7200,339.383,115.042,93.22
7300,347.914,116.795,94.1172
7400,364.422,120.958,97.1143
7500,378.737,124.462,100.563
7600,392.335,129.975,103.539
7700,409.784,132.69,104.869
7800,419.963,133.305,108.498
7900,437.949,142.857,112.457
8000,461.773,143.552,114.339
8100,467.629,143.253,117.596
8200,480.048,149.393,116.304
8300,495.164,154.38,123.712
8400,510.432,157.338,124.623
8500,538.224,161.544,126.381
8600,578.261,172.395,136.79
8700,589.682,166.684,136.284
8800,596.826,146.511,106.564
8900,526.429,149.396,110.285
9000,529.448,152.694,108.745
9100,556.57,155.417,112.846
9200,563.059,190.857,151.608
9300,696.757,194.892,154.428
9400,695.537,186.061,151.296
9500,709.244,198.066,158.513
9600,739.376,202.261,164.158
9700,765.039,205.237,166.78
9800,786.03,210.237,170.618
9900,810.068,217.331,170.422
10000,826.97,223.554,178.781
