n,naive,optimize,unroll
10,0.00028,0.00058,0.00077
20,0.00095,0.00106,0.00061
30,0.00177,0.00164,0.00118
40,0.00365,0.00553,0.00415
50,0.00573,0.00778,0.00391
60,0.00824,0.00927,0.00546
70,0.01129,0.01305,0.00738
80,0.01329,0.0119,0.0096
90,0.01855,0.02389,0.01209
100,0.0201,0.01862,0.01628
200,0.07113,0.07225,0.06078
300,0.15805,0.15975,0.1346
400,0.2809,0.28478,0.23824
500,0.57459,0.445,0.37229
600,0.71384,0.64355,0.536
700,1.70841,0.9745,0.62833
800,2.77673,1.22714,0.72878
900,2.35011,1.5342,1.40208
1000,6.17986,1.85934,1.40876
1100,5.21191,3.52063,1.75254
1200,9.08594,2.70225,2.23293
1300,9.63467,3.48478,2.54194
1400,9.65725,3.87265,2.92518
1500,14.6625,4.59989,2.96112
1600,16.1777,5.33776,3.37705
1700,19.495,5.43532,3.73285
1800,20.8916,6.13626,4.43431
1900,24.7299,6.6894,4.33643
2000,25.0272,7.72062,4.72023
2100,28.1728,8.37545,5.24648
2200,31.3372,9.34379,6.00346
2300,34.6268,10.1821,8.3017
2400,31.5904,10.931,6.92587
2500,43.3801,12.8762,7.77008
2600,43.2717,13.5219,8.71634
2700,45.847,13.7935,8.29501
2800,52.4323,14.6652,9.22947
2900,53.363,16.5688,11.7429
3000,57.2261,17.1853,16.4147
3100,53.4153,20.9843,16.9196
3200,57.2343,23.1043,17.798
3300,61.4385,22.9056,20.1689
3400,67.467,25.1595,21.5933
3500,70.6712,26.2249,22.1648
3600,79.8904,30.2665,22.7946
3700,77.3646,28.9046,23.7563
3800,85.7319,31.5669,25.6686
3900,89.4897,32.569,28.585
4000,94.3089,37.4531,27.8982
4100,98.239,37.9064,29.2331
4200,104.353,40.1715,30.1508
4300,107.734,38.7411,32.8398
4400,115.67,42.6492,32.9513
4500,118.601,45.1312,35.1607
4600,123.701,48.134,37.7873
4700,131.248,48.8354,39.5186
4800,138.462,53.3445,41.4072
4900,143.808,52.6785,41.5183
5000,150.109,55.4383,42.2017
5100,158.521,56.436,45.8751
5200,163.219,60.5722,45.4359
5300,167.144,62.5188,51.7593
5400,171.055,63.9634,54.2428
5500,184.217,67.0198,53.3773
5600,190.636,71.7796,56.4181
5700,193.51,72.3668,56.8031
5800,205.678,74.9582,61.1975
5900,208.548,77.7316,59.7828
6000,219.073,79.06,61.3653
6100,223.873,81.5751,66.4341
6200,236.537,84.7768,66.7354
6300,247.811,87.1565,71.9612
6400,248.382,88.8168,72.5367
6500,261.009,91.0997,75.5501
6600,270.595,93.0701,75.5891
6700,282.773,97.2012,80.4726
6800,288.896,99.3281,80.2782
6900,299.544,102.202,85.5128
7000,312.049,105.908,87.0246
7100,321.184,112.367,88.6089
7200,341.845,115.228,90.6726
7300,347.135,123.701,90.9904
7400,359.798,118.984,97.839
7500,377.211,126.633,101.036
7600,385.021,129.793,102.875
7700,396.056,129.103,101.535
7800,421.453,137.218,104.956
7900,465.407,137.939,112.386
8000,461.198,144.991,109.703
8100,466.224,144.282,117.801
8200,479.868,146.367,118.132
8300,493.413,152.67,118.105
8400,510.343,157.581,124.449
8500,531.738,160.358,127.63
8600,541.032,158.591,131.83
8700,560.36,168.767,136.752
8800,588.42,170.195,137.816
8900,602.367,176.464,142.602
9000,631.553,175.106,147.069
9100,641.636,177.952,147.891
9200,681.155,189.264,151.502
9300,683.768,194.375,154.581
9400,699.491,193.332,159.187
9500,728.26,191.884,156.223
9600,741.439,182.419,129.138
9700,698.849,175.701,127.121
9800,659.961,180.722,144.435
9900,664.394,185.528,136.871
10000,684.188,185.221,133.481
