n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,1.58e-05,1.13e-05,2.54e-05,2.15e-05
20,3.23e-05,2.28e-05,5.01e-05,4.62e-05
30,5.38e-05,3.63e-05,6.97e-05,6.86e-05
40,7.41e-05,4.9e-05,9.96e-05,9.73e-05
50,9.51e-05,6.29e-05,0.000123,0.0001216
60,0.0001159,7.69e-05,0.0001465,0.0001486
70,0.0001364,9.09e-05,0.0001767,0.0001766
80,0.0001784,0.0001049,0.0002066,0.0002074
90,0.0001826,0.0001195,0.0002279,0.0002298
100,0.0001703,0.0001147,0.000253,0.0002421
200,0.0003028,0.0001925,0.0003477,0.0003696
300,0.0003285,0.0002166,0.0006732,0.000537
400,0.0006038,0.0003795,0.0006462,0.0007675
500,0.0006843,0.0003912,0.000701,0.0008666
600,0.0008868,0.0004694,0.0008908,0.0011908
700,0.0009642,0.0005417,0.0009501,0.0013479
800,0.0011749,0.0005912,0.001096,0.0015503
900,0.0013601,0.0007008,0.001217,0.0017009
1000,0.0015458,0.0007765,0.0016846,0.0020532
