n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,1e-05,1e-05,3e-05,3e-05
20,4e-05,2e-05,5e-05,5e-05
30,5e-05,3e-05,7e-05,6e-05
40,7e-05,5e-05,0.0001,0.0001
50,0.0001,6e-05,0.00012,0.00013
60,0.00012,7e-05,0.00014,0.00015
70,0.00013,9e-05,0.00018,0.00018
80,0.00018,0.0001,0.0002,0.0002
90,0.00018,0.00011,0.00022,0.00023
100,0.00022,0.00012,0.00025,0.00026
200,0.00044,0.00028,0.00051,0.00055
300,0.00064,0.00041,0.00078,0.00083
400,0.00085,0.00049,0.00105,0.00114
500,0.00107,0.00062,0.00127,0.00143
600,0.00127,0.00074,0.00156,0.00171
700,0.00149,0.00088,0.00182,0.00199
800,0.00169,0.00105,0.00206,0.00231
900,0.00191,0.00112,0.00234,0.00261
1000,0.00211,0.00124,0.00254,0.00287
1100,0.00232,0.00135,0.00284,0.00314
1200,0.00253,0.00148,0.0031,0.00348
1300,0.00275,0.00132,0.0033,0.00377
1400,0.00296,0.00142,0.00359,0.00398
1500,0.00316,0.00152,0.00385,0.00427
1600,0.00339,0.00163,0.00416,0.00462
1700,0.00359,0.00172,0.00439,0.00491
1800,0.0038,0.00183,0.00461,0.00528
1900,0.004,0.00192,0.00487,0.0055
2000,0.00422,0.00202,0.00502,0.0058
2100,0.00451,0.00212,0.00542,0.006
2200,0.00464,0.00222,0.00569,0.00629
2300,0.00484,0.00237,0.0059,0.00656
2400,0.00506,0.00243,0.00616,0.00687
2500,0.00533,0.00253,0.00645,0.00713
2600,0.00548,0.00263,0.00657,0.00758
2700,0.00574,0.00273,0.00697,0.00771
2800,0.00591,0.00283,0.0072,0.00803
2900,0.0061,0.00293,0.00742,0.00828
3000,0.00631,0.00305,0.00772,0.00856
3100,0.00653,0.00313,0.008,0.00768
3200,0.00502,0.00254,0.00368,0.00533
3300,0.00515,0.00295,0.00381,0.00576
3400,0.00507,0.00232,0.00347,0.00509
3500,0.00482,0.00257,0.00426,0.00605
3600,0.00569,0.00291,0.00462,0.00602
3700,0.00515,0.00245,0.0037,0.00645
3800,0.00504,0.00277,0.00456,0.00639
3900,0.00517,0.00276,0.00449,0.00728
4000,0.00608,0.00316,0.00455,0.0067
4100,0.00637,0.00316,0.00476,0.00709
4200,0.00657,0.00357,0.00483,0.00644
4300,0.00663,0.00336,0.005,0.00733
4400,0.00594,0.00315,0.00437,0.00799
4500,0.00699,0.00369,0.00506,0.00833
4600,0.00733,0.00347,0.00517,0.00756
4700,0.0073,0.00381,0.00684,0.01322
