n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,1.613e-05,1.297e-05,3.133e-05,2.214e-05
20,3.66e-05,2.184e-05,5.031e-05,4.011e-05
30,6.173e-05,3.399e-05,6.066e-05,6.041e-05
40,8.593e-05,4.531e-05,9.418e-05,8.752e-05
50,0.00010729,5.533e-05,0.0001151,0.00011058
60,0.00013235,5.614e-05,0.00013321,0.00011824
70,7.409e-05,8.212e-05,0.00013962,0.00016233
80,0.00017823,9.325e-05,0.00018943,0.00019275
90,0.00019977,0.00010457,0.00021892,0.00021301
100,0.00010491,0.00011854,0.00020846,0.00024794
200,0.00020471,0.00016953,0.00046849,0.00038134
300,0.00040261,0.00025266,0.00056111,0.00054161
400,0.00056297,0.00033549,0.00085964,0.001133
500,0.00056362,0.00044668,0.00133156,0.00077686
600,0.00083241,0.00053029,0.0009025,0.00121913
700,0.00071256,0.00058083,0.00115819,0.0012341
800,0.00124012,0.00067729,0.00122361,0.00117942
900,0.00108185,0.00074587,0.00140307,0.00156331
1000,0.00144236,0.0008322,0.00160171,0.00129561
1100,0.00165327,0.00090377,0.00162986,0.00161806
1200,0.00179668,0.00090823,0.00179492,0.00171626
1300,0.00183965,0.00118772,0.00194321,0.00165101
1400,0.00211585,0.00109714,0.00171119,0.00192471
1500,0.00235858,0.00120867,0.00195896,0.00175245
1600,0.00202975,0.00133842,0.00261511,0.00237
1700,0.0020439,0.00155909,0.002406,0.00238271
1800,0.00248471,0.00139454,0.00268418,0.00267285
1900,0.00192786,0.00159894,0.00259684,0.00296228
2000,0.00262529,0.00161209,0.00291973,0.00293208
2100,0.00319914,0.00160851,0.00285467,0.00314519
2200,0.00358524,0.00213022,0.00344985,0.00319543
2300,0.0027983,0.00223486,0.00302146,0.00254497
2400,0.004471,0.00230702,0.00432003,0.00371609
2500,0.00307334,0.00209236,0.00733719,0.00678928
2600,0.00410831,0.0025895,0.00608592,0.00736956
2700,0.00371922,0.00257959,0.00334248,0.0030931
2800,0.00419592,0.00328916,0.00625063,0.0060618
2900,0.00456671,0.00262514,0.00419869,0.00367578
3000,0.00448386,0.00241823,0.00347744,0.00321965
3100,0.00462471,0.00246347,0.0042347,0.00324052
3200,0.00379915,0.00269945,0.00428835,0.00365582
3300,0.00534354,0.00251776,0.00346539,0.00311699
3400,0.00505854,0.00261584,0.0038083,0.00386697
3500,0.00525261,0.00270092,0.00360161,0.00381081
3600,0.00558556,0.00280986,0.00408242,0.00370772
3700,0.00581231,0.00315078,0.00458191,0.0042119
3800,0.00548226,0.00324291,0.00475607,0.00426645
3900,0.00637845,0.00328369,0.0048388,0.00394405
4000,0.00596074,0.00335496,0.0046951,0.00461728
4100,0.00646413,0.00327257,0.00449271,0.00455149
4200,0.00653189,0.00305284,0.004783,0.0039271
4300,0.00675849,0.00330774,0.00436392,0.00415176
4400,0.00783718,0.00320239,0.00506667,0.00435345
4500,0.00720302,0.00342904,0.00571785,0.00490914
4600,0.00734351,0.00333261,0.00480654,0.00445009
4700,0.00705423,0.00382321,0.00710761,0.009139
4800,0.0063634,0.00422805,0.00837107,0.0073583
4900,0.00608534,0.00409243,0.0105985,0.00905774
5000,0.00697078,0.00432203,0.00983713,0.0093242
5100,0.00620384,0.00391348,0.00749279,0.00707164
5200,0.00606034,0.00467174,0.0102885,0.00776237
5300,0.00624265,0.00439841,0.00881113,0.0116701
5400,0.00693641,0.00422322,0.00694291,0.00657754
5500,0.00755242,0.00515194,0.0116321,0.00917662
5600,0.00671134,0.00510062,0.0115889,0.00840561
5700,0.00646574,0.00510021,0.00923015,0.0119098
5800,0.00702351,0.00481887,0.00776705,0.0102316
5900,0.00698511,0.0052168,0.0104346,0.00788114
6000,0.00710317,0.00544805,0.0110677,0.00706305
6100,0.00813466,0.00500529,0.00880588,0.0111018
6200,0.00882476,0.00504322,0.0106557,0.0112456
6300,0.00703332,0.0050263,0.009578,0.00813196
6400,0.00807276,0.00535501,0.0104327,0.00976802
6500,0.00823731,0.00559233,0.0118863,0.0103963
6600,0.00899142,0.0053342,0.0111311,0.0109258
6700,0.00712444,0.0065382,0.00984151,0.0097534
6800,0.00768703,0.00645188,0.015549,0.0129967
6900,0.00902064,0.00601318,0.00909536,0.00884447
7000,0.00915023,0.00595199,0.00990909,0.0173011
7100,0.010135,0.00712495,0.011009,0.0143151
7200,0.00915491,0.00656004,0.0127433,0.00890894
7300,0.00945489,0.00617553,0.0114743,0.0100424
7400,0.00987883,0.0060568,0.0148813,0.0129023
7500,0.00883129,0.00610012,0.0143296,0.0117353
7600,0.00996705,0.00747015,0.0142136,0.0160798
7700,0.0106553,0.00623437,0.0143957,0.0114491
7800,0.0108178,0.0065681,0.0121591,0.0136376
7900,0.0102095,0.00686875,0.0120387,0.0104371
8000,0.00981426,0.00593739,0.0135864,0.0116291
8100,0.00995633,0.00654646,0.0146246,0.0139082
8200,0.0110953,0.00776375,0.0118794,0.0136976
8300,0.0115906,0.006888,0.0109971,0.0154014
8400,0.0102282,0.00696157,0.013831,0.0140627
8500,0.0114024,0.00693335,0.0135707,0.0105022
8600,0.0111854,0.00774295,0.0162159,0.0141078
8700,0.0112081,0.00754274,0.0156522,0.0143888
8800,0.0119789,0.00734461,0.0120625,0.0178794
8900,0.0105149,0.00780986,0.0163141,0.0125178
9000,0.0129227,0.00736242,0.0143285,0.0198356
9100,0.0106317,0.00730996,0.0143802,0.0133583
9200,0.0123528,0.00753161,0.0160748,0.0171122
9300,0.0101012,0.00786532,0.0119962,0.0171406
9400,0.0130191,0.00782687,0.0169476,0.0170844
9500,0.0123277,0.00792725,0.0162343,0.0136797
9600,0.0121003,0.00831658,0.017216,0.0147344
9700,0.0134702,0.00805127,0.0107989,0.0137615
9800,0.0133102,0.00749813,0.014891,0.0159836
9900,0.013331,0.00828358,0.019178,0.0155175
10000,0.0126135,0.00865106,0.0158531,0.0141454
