n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,1.58e-05,1.13e-05,2.54e-05,2.15e-05
20,3.23e-05,2.28e-05,5.01e-05,4.62e-05
30,5.38e-05,3.63e-05,6.97e-05,6.86e-05
40,7.41e-05,4.9e-05,9.96e-05,9.73e-05
50,9.51e-05,6.29e-05,0.000123,0.0001216
60,0.0001159,7.69e-05,0.0001465,0.0001486
70,0.0001364,9.09e-05,0.0001767,0.0001766
80,0.0001784,0.0001049,0.0002066,0.0002074
90,0.0001826,0.0001195,0.0002279,0.0002298
100,0.0001703,0.0001147,0.000253,0.0002421
200,0.0003028,0.0001925,0.0003477,0.0003696
300,0.0003285,0.0002166,0.0006732,0.000537
400,0.0006038,0.0003795,0.0006462,0.0007675
500,0.0006843,0.0003912,0.000701,0.0008666
600,0.0008868,0.0004694,0.0008908,0.0011908
700,0.0009642,0.0005417,0.0009501,0.0013479
800,0.0011749,0.0005912,0.001096,0.0015503
900,0.0013601,0.0007008,0.001217,0.0017009
1000,0.0015458,0.0007765,0.0016846,0.0020532
1100,0.0017047,0.0008606,0.0014163,0.002117
1200,0.0018447,0.0009321,0.0019125,0.002735
1300,0.0017516,0.0009646,0.0015167,0.0023124
1400,0.0020078,0.0010177,0.0015766,0.0027831
1500,0.0019406,0.0010208,0.0023622,0.0036028
1600,0.0024812,0.0011868,0.0020034,0.0029524
1700,0.0024579,0.0012673,0.0020933,0.0030251
1800,0.0026289,0.001374,0.0022037,0.0034034
1900,0.0027338,0.0014354,0.002229,0.0033675
2000,0.0028845,0.0014185,0.0023456,0.0035807
2100,0.0030417,0.0015425,0.0025173,0.0039645
2200,0.0033925,0.0015903,0.0026355,0.0039626
2300,0.0033221,0.0015973,0.0025704,0.0051307
2400,0.0034067,0.0017739,0.0027167,0.0043775
2500,0.0027433,0.0017212,0.0026895,0.0047378
2600,0.0038101,0.0019435,0.0028416,0.0046811
2700,0.004063,0.0020437,0.0030736,0.0047408
2800,0.0040436,0.0020189,0.0030988,0.0049396
2900,0.0041157,0.0020117,0.0030834,0.0051675
3000,0.004224,0.0021022,0.0034827,0.0053252
3100,0.003432,0.0023905,0.0037565,0.0057112
3200,0.0045982,0.0022521,0.0043905,0.0057104
3300,0.0034956,0.0023755,0.0034532,0.0057743
3400,0.0048312,0.0024241,0.0035779,0.0059937
3500,0.00502,0.0025176,0.0037029,0.0060908
3600,0.0051022,0.0026463,0.003879,0.006255
3700,0.0050052,0.0025393,0.0060089,0.0065585
3800,0.0054127,0.0028688,0.0042214,0.0066649
3900,0.0054942,0.0029647,0.0044244,0.0069417
4000,0.0060595,0.0030238,0.0045025,0.0089772
4100,0.005785,0.0033683,0.0053362,0.0072211
4200,0.0062404,0.0031907,0.0055603,0.0077663
4300,0.0049999,0.0031712,0.0049311,0.0075914
4400,0.0064318,0.0033584,0.0075081,0.0082414
4500,0.0065315,0.0033384,0.007072,0.0078231
4600,0.0066782,0.0033104,0.0053819,0.0079902
4700,0.0068137,0.0036171,0.0053996,0.0092637
4800,0.0070438,0.0035079,0.0054267,0.0083316
4900,0.0071188,0.0034424,0.0055795,0.0083575
5000,0.0071474,0.0037427,0.0068674,0.009731
5100,0.0072633,0.0037327,0.0053481,0.0089754
5200,0.0075065,0.00392,0.0059581,0.009085
5300,0.0077688,0.0039812,0.0058872,0.01077
5400,0.0071214,0.00405,0.0056662,0.0093653
5500,0.0080367,0.0041221,0.0059621,0.0097826
5600,0.0080621,0.0041086,0.0058351,0.0096349
5700,0.0083586,0.004155,0.0096887,0.0112035
5800,0.0082086,0.0042438,0.008938,0.010049
5900,0.0086068,0.0042789,0.0067443,0.0101453
6000,0.0089217,0.0044081,0.0073167,0.0104972
6100,0.0086016,0.0051245,0.0087809,0.0109752
6200,0.0091985,0.0046476,0.0067651,0.0108331
6300,0.0091257,0.004694,0.0070004,0.0116297
6400,0.0095904,0.0048215,0.0075037,0.0111396
6500,0.00939,0.0048686,0.0074435,0.0110933
6600,0.0095783,0.0049519,0.0093992,0.0112002
6700,0.0099583,0.0050351,0.0073296,0.0115287
6800,0.0100376,0.0052755,0.0075516,0.0115775
6900,0.0100932,0.0052217,0.0075089,0.011701
7000,0.0104845,0.0053249,0.0080094,0.0122002
7100,0.0105466,0.0054001,0.0077376,0.0120255
7200,0.0104132,0.0053847,0.0077875,0.0132247
7300,0.0122145,0.0056307,0.0079491,0.0124924
7400,0.0106246,0.0055934,0.0079669,0.0123347
7500,0.0107933,0.0056196,0.0080448,0.0127947
7600,0.0087258,0.0053261,0.009979,0.0134168
7700,0.0107608,0.0054164,0.0084288,0.0124075
7800,0.0109424,0.0055925,0.0086669,0.012907
7900,0.0112011,0.0057066,0.0144701,0.0152093
8000,0.0098138,0.0055211,0.008468,0.0138384
8100,0.0094968,0.0056341,0.0082738,0.0132352
8200,0.0121159,0.0061625,0.0099271,0.0138785
8300,0.0117935,0.0062947,0.0095986,0.0135887
8400,0.0121527,0.0063272,0.0096396,0.0139116
8500,0.0124948,0.0064585,0.0098843,0.0143291
8600,0.0127971,0.0065792,0.0102096,0.014739
8700,0.0118096,0.0065705,0.0106663,0.0198087
8800,0.0112628,0.0064912,0.0114814,0.0148986
8900,0.0137793,0.0070123,0.0111062,0.0150835
