n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
9000,0.0132496,0.0067881,0.010447,0.0152529
9100,0.0136918,0.0069082,0.0106117,0.0154262
9200,0.0135172,0.0073355,0.0105825,0.0154874
9300,0.0118154,0.0072653,0.0125182,0.0151641
9400,0.012541,0.0067002,0.0104033,0.0152545
9500,0.0134701,0.0067354,0.012356,0.0156819
9600,0.0135999,0.0067379,0.0104144,0.0157034
9700,0.0142313,0.006826,0.0104898,0.0159057
9800,0.0144718,0.0071204,0.0106426,0.0160545
9900,0.0140792,0.0071967,0.0110699,0.0161187
10000,0.0154142,0.0073167,0.0109129,0.016027
