n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,1.52e-05,1.09e-05,2.99e-05,2.6e-05
20,3.13e-05,2.2e-05,5.22e-05,4.72e-05
30,5.34e-05,3.53e-05,6.89e-05,6.66e-05
40,7.32e-05,4.91e-05,0.0001009,9.78e-05
50,9.45e-05,6.29e-05,0.0001226,0.0001225
60,0.0001156,7.69e-05,0.0001463,0.0001482
70,0.0001366,9.16e-05,0.0001769,0.0001816
80,0.0001364,7.85e-05,0.0001559,0.0001429
90,0.0001564,8.93e-05,0.0001755,0.0001594
100,0.0001758,0.0001002,0.0001962,0.0001791
200,0.0003024,0.0002123,0.0003529,0.00038
300,0.000455,0.0002447,0.0005086,0.000577
400,0.0006058,0.0003124,0.0006004,0.0007832
500,0.0007557,0.0003909,0.0007375,0.0010012
600,0.0009144,0.0004746,0.0010764,0.0012097
700,0.0010743,0.0005425,0.0009516,0.0013935
800,0.0012225,0.0006259,0.0010658,0.0015976
900,0.0013837,0.0007044,0.0011738,0.0017911
1000,0.0015353,0.0007756,0.0012922,0.0019833
1100,0.0017118,0.0008626,0.0014259,0.0021639
1200,0.0018628,0.0009368,0.0015589,0.0023656
1300,0.0021972,0.0013617,0.0021359,0.0027879
1400,0.0022529,0.0011387,0.0017363,0.0027175
1500,0.0023262,0.0012005,0.0018307,0.0029572
1600,0.0024715,0.001244,0.0019452,0.0030266
1700,0.0026434,0.0013283,0.0020533,0.0031055
1800,0.0027954,0.0014262,0.0021764,0.0034979
1900,0.0029462,0.0014773,0.0022764,0.0034727
2000,0.0031013,0.0015344,0.0023881,0.0037052
2100,0.0032694,0.0016227,0.002513,0.0040242
2200,0.0034214,0.0016964,0.0026311,0.0041601
2300,0.0036981,0.0020787,0.0029677,0.0042124
2400,0.0038234,0.0019142,0.0030047,0.0045888
2500,0.0039947,0.0019904,0.0031221,0.004753
2600,0.0041544,0.00208,0.0032075,0.0049676
2700,0.0042311,0.0021214,0.0033228,0.0050836
2800,0.0044889,0.0022339,0.0033331,0.0053034
2900,0.0046329,0.0023136,0.0033864,0.0055385
3000,0.0047899,0.0023676,0.003523,0.0061225
3100,0.0050456,0.002441,0.0036538,0.0057614
3200,0.0050771,0.002518,0.0037711,0.0059672
3300,0.005227,0.0026055,0.0038846,0.0061687
3400,0.0053867,0.0026763,0.0039445,0.0062428
3500,0.005573,0.0027431,0.0040773,0.0065581
3600,0.0059293,0.0028096,0.0041849,0.0065323
3700,0.0058199,0.0028897,0.0051906,0.00761
3800,0.0060525,0.003087,0.0045118,0.007055
3900,0.0064637,0.0030899,0.0045855,0.0071317
4000,0.0067435,0.003281,0.0047623,0.0073611
4100,0.0067414,0.0041108,0.0056495,0.0074025
4200,0.006919,0.0033173,0.004905,0.0077076
4300,0.0070706,0.0033595,0.0049799,0.0079758
4400,0.0072049,0.0034457,0.0050641,0.008125
4500,0.007365,0.0035196,0.00526,0.0082489
4600,0.0075514,0.0036359,0.0055859,0.0084692
4700,0.0076818,0.003664,0.0056355,0.0086659
4800,0.0079004,0.003764,0.0055283,0.0087468
4900,0.0080835,0.0039098,0.0057602,0.0087165
5000,0.0081912,0.003917,0.0059714,0.0091079
5100,0.0084023,0.0040309,0.0059,0.0093201
